E,E_norm,mean_error_cm,median_error_cm,p90_error_cm,success_frac_1cm,success_frac_2cm
6732290.5460469,0.21458467281952928,1.0587722799237855,0.7138827096887016,1.3193337891386583,0.7555306636796416,0.960655278633436
6848304.226892799,0.22690934905088375,1.0947259816811534,0.7188788473975232,1.2618897930303934,0.7702324278913469,0.9771772612713525
6851431.928413084,0.22723872178477725,1.1164938587416788,0.8063465916085342,1.4053960390076277,0.6880425651078129,0.9777373284794175
6915372.987289066,0.2339394858653412,1.1927720847371073,0.8594254522786372,1.4448709139809794,0.6554186502380286,0.9784374124894988
7385501.453138965,0.28138389202199726,0.9838417917333746,0.7107725261193419,1.3062376686090078,0.7700924110893307,0.9648557826939232
7456942.94300762,0.2883281039302445,1.2819392727886776,0.8422272650480622,1.671147904243596,0.6380565667880146,0.9654158499019883
7511575.894819554,0.2935937577666836,1.084428595215139,0.7524393985490313,1.2883189107428676,0.7584710165219827,0.9805376645197423
7594485.724884991,0.30151208914787675,1.1707778502198358,0.910820869023935,1.3452084487962968,0.62965555866704,0.9714365723886866
7620196.977576765,0.3039500980626129,1.1445488061397109,0.7342219438217367,1.3749427947292021,0.730887706524783,0.9754970596471576
7709628.683073106,0.3123666413820415,1.1396678116603816,0.835981852750941,1.6515634819098517,0.617474096891627,0.9616353962475497
7854823.244248794,0.3258253581381517,1.1242473562574544,0.9531587889351535,1.848381356566711,0.5371044525343042,0.9189302716325959
8173647.526581845,0.3545259681298687,1.1194216883429913,0.8489367926176338,1.5786723923854156,0.6631195743489219,0.9768972276673201
8256631.488331252,0.3618126105533908,0.8737326429678737,0.7118842235544767,1.3438197665762923,0.7747129655558667,0.9791374964995799
8356202.8045702055,0.3704597060348685,0.9869100041859831,0.69536706768643,1.2958160785379682,0.7682721926631195,0.9662559507140857
8360122.854827203,0.3707980242325817,1.0329799531601196,0.7100809749937145,1.3196530053338156,0.7720526463175581,0.947913749649958
8479449.155691018,0.3810212260964828,0.9110763321385499,0.7419125676591748,1.413622670383783,0.717026043125175,0.9768972276673201
8555693.812927917,0.38747837903017485,0.7750801815201858,0.6895737237310618,1.3000493695867432,0.7929151498179782,0.9792775133015962
8782927.030670978,0.40638686144006997,0.9178677277326304,0.6478701306080761,1.0524841767300186,0.8786054326519183,0.9805376645197423
8809043.529409854,0.40852864372463626,0.750871409378133,0.6250395984306681,1.17766257481994,0.8116774012881546,0.987258471016522
9160096.98516343,0.4367173892323627,0.9164687571332908,0.7916439515487795,1.376614480233663,0.6569588350602072,0.9809577149257911
9165616.561541755,0.4371519188723311,0.9173076051660369,0.6961671431589633,1.2918033996246745,0.7880145617474097,0.9743769252310277
9187580.429017996,0.43887843975205293,0.9940270020542987,0.7039548526964013,1.2401700122211967,0.7964155698683842,0.9819378325399047
9245532.999504473,0.44341419882733085,0.9425931319000731,0.6076584360003312,1.161666112851627,0.8595631475777094,0.9696163539624755
9280745.164198546,0.4461562755740305,0.8215596954553211,0.7316582276496797,1.4208695465179029,0.7619714365723886,0.9799775973116774
9335323.197042704,0.4503859378955672,0.9104261027151891,0.6530561104493033,1.1849126258192346,0.8053766451974237,0.973956874824979
9446367.388702588,0.4589157755383406,1.0475218294714215,0.7125488582953556,1.2837447652688299,0.7567908148977878,0.9645757490898907
9485228.67542923,0.46187723025138766,0.7176111461090431,0.6249729764204108,1.0337471437805272,0.8849061887426491,0.9805376645197423
9549135.321260994,0.46672100372703457,0.8927361415168967,0.7309616198176102,1.1844800099946313,0.7185662279473537,0.9827779333520023
9586736.090222755,0.46955581127580753,1.082935867493261,0.6636904146470297,1.0867738156520206,0.8368804256510781,0.9773172780733688
9607229.870665856,0.4710962061431332,0.7196801243641667,0.5716677330207941,1.2163023928479477,0.7996359563147578,0.9823578829459535
9668807.37336113,0.47570492622593374,1.1131577287758951,0.7089312762775811,1.2876443889925884,0.7868944273312798,0.9746569588350602
10014494.152227988,0.501044775103364,0.7907271139099756,0.5611880605675844,1.0063364659689822,0.8984878185382246,0.983197983758051
10771049.294992108,0.5535794006579955,0.7983954936174829,0.6419876051229095,1.250401653290503,0.8197983758050966,0.973396807616914
10786072.034778763,0.5545847870158355,0.7719790141387127,0.5896767497670317,1.1282589336071231,0.8786054326519183,0.9777373284794175
10822728.83177143,0.557032152341278,0.9972867224048337,0.6864997246060424,1.1487739893870568,0.8265191823018763,0.982077849341921
10855410.790748764,0.5592071607454132,0.9252690212762341,0.6171307980041735,1.0426549210815677,0.8763651638196583,0.9823578829459535
10946519.36530697,0.5652361064811892,1.043118733703493,0.6004748154279291,1.405031573747871,0.8007560907308877,0.961215345841501
10999838.87891991,0.5687411959528935,0.8887724677967012,0.5980748400316661,1.0586441779533344,0.87034444133296,0.9816577989358723
11979479.174826076,0.6302825931188886,0.7705046199875243,0.6101828240818336,1.1227352895888014,0.8584430131615793,0.9875385046205545
12002448.937083635,0.6316643991220645,0.7149569811782228,0.5478967985598925,1.02026075294107,0.8927471296555587,0.9740968916269952
12053370.620311914,0.6347183200005913,0.7734276661887942,0.5490265375031217,1.2129102487026844,0.8594231307756931,0.9490338840660879
12207182.374382325,0.6438651200806642,0.73966616297675,0.5422409021381451,0.9061005689522947,0.9340520862503501,0.9763371604592551
12516515.901697328,0.6619165147268957,0.9820415706123761,0.522482158851793,0.8896855777872004,0.9441332959955194,0.974516942033044
12558177.253824713,0.6643135403273871,0.8960127664619857,0.5800128660194822,1.0792226960915055,0.8591430971716606,0.9816577989358723
12567535.054938221,0.6648508565920327,0.8514433416980686,0.5719677646034679,1.0514454811437353,0.8795855502660319,0.9792775133015962
12629573.529455673,0.6684029617904714,0.7614881824492689,0.5509861993099672,0.9222361566954539,0.9396527583309997,0.9854382525903108
12654302.504280433,0.6698139946825097,0.8054979878353609,0.5185281504322515,0.9262924614492537,0.9287314477737328,0.9836180341640997
12878736.024080109,0.682495503974975,0.9237562507172,0.6403501396523513,1.13155825903932,0.8587230467656118,0.9438532623914869
12888620.943439232,0.6830489532424551,0.7231384524238358,0.5576095406766602,0.8871485684428446,0.9452534304116494,0.9830579669560348
13127941.81879509,0.6963203750777366,0.737176131701203,0.5429432144975606,0.9894815236218154,0.9031083730047605,0.9834780173620834
13147022.126812993,0.6973680290593636,0.7843639549256416,0.5682760669763272,1.1918673731169336,0.8489218706244749,0.9801176141136937
13199929.31467155,0.7002651020022485,0.7120090364269527,0.6229721799301289,0.9280759371312697,0.9339120694483338,0.975077009241109
13289904.681213858,0.7051653786263357,0.8604061426316376,0.5827552581474373,0.9458815480377096,0.9249509941192943,0.9840380845701484
13610487.113404369,0.7223593505964504,0.7778341828471067,0.490963440837155,0.8124123776794266,0.97801736208345,0.9833380005600673
14039818.758064797,0.7447621559078169,0.8308875157064003,0.5525799133827977,1.0475558520620916,0.8842061047325679,0.978577429291515
14301589.311414814,0.7580877400853734,0.7946722263095309,0.6757002929082229,1.1330627044688135,0.8260991318958275,0.9689162699523943
14362226.341728544,0.7611397019903532,0.7869998678784449,0.5227552027794468,0.913459260037302,0.9374124894987399,0.9823578829459535
14439269.084015105,0.7649988574160259,0.7684986630545723,0.6171876939614778,1.1350093472464255,0.8587230467656118,0.9873984878185382
14619683.68481291,0.7739560485559634,0.9363338688830827,0.5165154850741729,1.051209033158923,0.8874264911789415,0.9712965555866704
14709691.543402622,0.7783834970737621,0.8227298396059888,0.5796920822005756,1.4154837638986462,0.8675441052926351,0.9309717166059928
14757599.430020444,0.7807290310219679,1.0926320161099587,0.4989707984375721,1.015301463195255,0.8940072808737048,0.9686362363483618
14822578.304671636,0.7838982091064131,0.7051263490841503,0.5697856295447961,1.0338754955410925,0.8893867264071689,0.9801176141136937
14867155.133285437,0.786064305276954,0.8507370245686793,0.5332679783634053,1.0139927190495133,0.8933071968636236,0.9827779333520023
14884892.011582639,0.7869243775021385,0.6681394666796965,0.5135388982632443,1.0063861614190872,0.8991879025483058,0.9796975637076449
15257607.074850975,0.8047643574968024,1.1513952378728944,0.7423568600660947,1.3647467290548392,0.7415289834780173,0.9605152618314198
15454647.721959647,0.8140203846660344,0.6630076208888119,0.5140514959383727,0.7983352262513878,0.9724166900028003,0.9854382525903108
15643065.151317907,0.8227616132708305,0.7662842983227051,0.6279428928890796,1.0367710263828989,0.8865863903668441,0.9810977317278073
15749023.120525712,0.8276311719925817,0.9464928092390119,0.5081739735620403,0.7781077006865266,0.9672360683281994,0.9757770932511901
15850403.891227964,0.8322598013952012,0.854532920963257,0.5815020070800772,1.378117234845325,0.8010361243349202,0.9490338840660879
15859600.080072993,0.832678196057837,1.0348719574726626,0.6867251568480124,1.0745740398887402,0.8382805936712405,0.9782973956874825
16321867.622932287,0.8534030732681659,0.8711672830821304,0.45702816444578975,0.867923046926914,0.9399327919350322,0.9770372444693364
16439835.233366735,0.858597919911382,0.961059005848079,0.5444131200122194,0.9972747372479438,0.9005880705684682,0.9708765051806216
17245766.390543047,0.8931211213221983,0.8697840764751784,0.6742076398874519,1.2911451277421149,0.8517222066647998,0.951974236908429
18069166.738403607,0.9267649888486021,0.6556942276609921,0.5590635909914775,1.0124426010645493,0.8921870624474937,0.9771772612713525
18970994.75268048,0.9618976645495143,0.8621375399977469,0.5002980479887158,0.9903979794855369,0.9038084570148418,0.9747969756370765
19119164.306256354,0.9675097324342096,0.7233657525107942,0.4607217912568235,0.9473426976197099,0.9152898347801737,0.9796975637076449
19203856.34183284,0.9706980243949038,0.603525412877659,0.5405061883660002,0.8680437876667088,0.964715765891907,0.9813777653318398
19335401.244690478,0.9756223516367565,0.7739362517466217,0.44515535813922474,0.7842872530357521,0.9696163539624755,0.9752170260431252
